id,lon,lat,Address
6584310626,31.3067868,30.0866851, || Triumph Hotel_ Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt || Ehsan Abd Al Kodoos_ Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt || 5 Al Ghabarti_ Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt || Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt
6076965584,31.312218,30.1026941, || 11 Al Leith_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || 11 Al Leith_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || Taqseem Maher_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt
6602409024,31.3114198,30.0926246, || 21 Al Sheikh Abou Al Nour_ Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt || Al Sheikh Abou Al Nour_ Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt || 21 Al Sheikh Abou Al Nour_ Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt || Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt
7872192210,31.3153117,30.0935135, || Cinema Roxy_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 111 El Hegaz St_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 1 Ibrahim Al Lakani_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 111 El Hegaz St_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt
7872973462,31.3361886,30.096916, || 51 Othman Ibn Affan_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || 51 Othman Ibn Affan_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || 51 Othman Ibn Afan_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || 1 Fawzi Al Motaee Basa_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt
6572779428,31.3414059,30.0773191, || ش Hassan Aflaton_ Masaken Al Mohandesin_ Nasr City_ Cairo Governorate_ Egypt || 12 Omarat Al Saudeya_ Masaken Al Mohandesin_ Nasr City_ Cairo Governorate_ Egypt || 10 Omarat Al Saudeya_ Nasr City_ Cairo Governorate_ Egypt || Al Bank_ Masaken Al Mohandesin_ Nasr City_ Cairo Governorate_ Egypt
8244627953,31.3150676,30.0777191, || 13 Salah Salem St_ Ash Sharekat_ Nasr City_ Cairo Governorate_ Egypt || Accountability State Auth._ Ash Sharekat_ Nasr City_ Cairo Governorate_ Egypt || Mostafa Abou Zahra_ Ash Sharekat_ Nasr City_ Cairo Governorate_ Egypt || Ash Sharekat_ Nasr City_ Cairo Governorate_ Egypt
6074412166,31.303498,30.1024675, || الزيتون الغربية_ الزيتون__ AZ Zaytoun Al Gharbeyah_ Zeitoun_ Cairo Governorate_ Egypt || Ahmed Mousa_ AZ Zaytoun Al Gharbeyah_ Zeitoun_ Cairo Governorate_ Egypt || AZ Zaytoun Al Gharbeyah_ Zeitoun_ Cairo Governorate_ Egypt || Zeitoun_ Cairo Governorate_ Egypt
6606113724,31.3044119,30.0947838, || 2 سعد الدروي_ منزل عبد العظيم ابراهيم الزيتون الشرقية_ الزيتون__ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || 1 Awlad Eid_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || 1 Awlad Eid_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || Dr Mahmoud Khaleel Ln_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt
6510225658,31.3118302,30.1048699, || 40 Salim Al Awal_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || 40 Salim Al Awal_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || 38 Salim Al Awal_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || 39 Salim Al Awal_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt
7198313606,31.3390965,30.0903295, || 1 Al Wadi_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || 1 Al Wadi_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || Al Wadi_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || Almazah_ Heliopolis_ Cairo Governorate_ Egypt
7872626519,31.3269625,30.1023979, || 63 El Hegaz St_ El-Nozha_ El Nozha_ Cairo Governorate_ Egypt || 12 El Hegaz St_ El-Bostan_ Heliopolis_ Cairo Governorate_ Egypt || 63 El Hegaz St_ El-Bostan_ Heliopolis_ Cairo Governorate_ Egypt || El-Bostan_ Heliopolis_ Cairo Governorate_ Egypt
7872626509,31.3277284,30.103268, || 138 El Hegaz St_ El-Bostan_ Heliopolis_ Cairo Governorate_ Egypt || 14 El Hegaz St_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 14 El Hegaz St_ El-Bostan_ Heliopolis_ Cairo Governorate_ Egypt || El Hegaz St_ El-Bostan_ Heliopolis_ Cairo Governorate_ Egypt
6594809712,31.3116306,30.103635, || 4 Al Leith_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || 2 Al Leith_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || Toman Bai_ El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt || El-Zaytoun Sharkeya_ Zeitoun_ Cairo Governorate_ Egypt
7206789806,31.3160312,30.0945447, || 1 Al Maahad Al Eshtraki_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 1 El-Saada_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || Roxy_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || El Hegaz St_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt
8315387961,31.2960282,30.0997911, || 82 Wadi Al Nile_ AZ Zaytoun Al Qebleyah_ Zeitoun_ Cairo Governorate_ Egypt || 82 Wadi Al Nile_ AZ Zaytoun Al Qebleyah_ Zeitoun_ Cairo Governorate_ Egypt || 18 Wadi Al Nile_ AZ Zaytoun Al Qebleyah_ Zeitoun_ Cairo Governorate_ Egypt || Wadi Al Nile_ AZ Zaytoun Al Qebleyah_ Zeitoun_ Cairo Governorate_ Egypt
6317352225,31.3373574,30.0747172, || 65 Abdel Azim Wazeer St_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || 65 Sour Dar Al Defaa Al Gawy_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || 7 Sour Dar Al Defaa Al Gawy_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || Al Golf_ Nasr City_ Cairo Governorate_ Egypt
8234870677,31.3503282,30.0826294, || 35 El-Shaheed Ibrahim El-Shaikh_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || Moustafa Sayed Al Maghrabi_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || 36 El-Shaheed Ibrahim El-Shaikh_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || Almazah_ Heliopolis_ Cairo Governorate_ Egypt
7206789917,31.3120308,30.0962689, || المنتزه_ مصر الجديدة__ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 77 Gesr Al Suez_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 10 El-MAGD_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 77 Gesr Al Suez_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt
6600451961,31.3075731,30.1045235, || 1 Saeed El-Banna_ AZ Zaytoun Al Gharbeyah_ Zeitoun_ Cairo Governorate_ Egypt || 1 Saeed El-Banna_ AZ Zaytoun Al Gharbeyah_ Zeitoun_ Cairo Governorate_ Egypt || 4-8 Ahmed Afify Ln_ AZ Zaytoun Al Gharbeyah_ Zeitoun_ Cairo Governorate_ Egypt || AZ Zaytoun Al Gharbeyah_ Zeitoun_ Cairo Governorate_ Egypt
330064057,31.3177434,30.0795669, || 2 El Tayaran St_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || 3 El Tayaran St_ Ash Sharekat_ Nasr City_ Cairo Governorate_ Egypt || Sonesta Hotel (Al Tayaran St.)_ Ash Sharekat_ Nasr City_ Cairo Governorate_ Egypt || 3 El Tayaran St_ Ash Sharekat_ Nasr City_ Cairo Governorate_ Egypt
7868789391,31.3347472,30.0863277, || Telecom Egypt Central (Almaza)_ Al Golf_ Heliopolis_ Cairo Governorate_ Egypt || El-Sayed El-Marghany_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || 82 50M_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || Al Golf_ Nasr City_ Cairo Governorate_ Egypt
4393502214,31.2997175,30.0789113, || Infantry House (Heliopolis)_ Mansheya El-Bakry_ Heliopolis_ Cairo Governorate_ Egypt || Ismail Al Fangari_ El-Qobba Bridge_ Al Waili_ Cairo Governorate_ Egypt || El-Qobba Bridge_ Al Waili_ Cairo Governorate_ Egypt || Heliopolis_ Cairo Governorate_ Egypt
6574089430,31.3401425,30.0761979, || 5 El-Nozha_ Almazah_ Heliopolis_ Cairo Governorate_ Egypt || Masaken Al Mohandesin_ Nasr City_ Cairo Governorate_ Egypt || Nasr City_ Cairo Governorate_ Egypt || Cairo Governorate_ Egypt
7208831098,31.3197621,30.0914377, || 4 Ibrahim Nour El-Deen_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 4 Dr Sayed Abd El-Wahid_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || 10 Ibrahim Nour El-Deen_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt || Dr Sayed Abd El-Wahid_ El-Montaza_ Heliopolis_ Cairo Governorate_ Egypt
272479377,31.3327615,30.0834013, || 22 Shams Al Din Al Zahabi_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || Fadel Al Khedr_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || 5 Shafeek El-Deeb_ Al Golf_ Nasr City_ Cairo Governorate_ Egypt || Al Golf_ Nasr City_ Cairo Governorate_ Egypt
273006942,31.3304849,30.1035383, || 3 Al Mahkma_ El-Nozha_ El Nozha_ Cairo Governorate_ Egypt || 3 Al Mahkma_ El-Nozha_ El Nozha_ Cairo Governorate_ Egypt || 3-4 Al Mahkma_ El-Nozha_ El Nozha_ Cairo Governorate_ Egypt || El-Nozha_ El Nozha_ Cairo Governorate_ Egypt
